year,liberal_democracy_index
1789,0.069
1790,0.069
1791,0.069
1792,0.069
1793,0.069
1794,0.069
1795,0.069
1796,0.069
1797,0.069
1798,0.069
1799,0.069
1800,0.069
1801,0.069
1802,0.069
1803,0.069
1804,0.069
1805,0.069
1806,0.069
1807,0.069
1808,0.069
1809,0.069
1810,0.069
1811,0.069
1812,0.069
1813,0.069
1814,0.069
1815,0.069
1816,0.069
1817,0.069
1818,0.068
1819,0.068
1820,0.068
1821,0.068
1822,0.068
1823,0.068
1824,0.068
1825,0.068
1826,0.068
1827,0.068
1828,0.068
1829,0.068
1830,0.068
1831,0.068
1832,0.068
1833,0.068
1834,0.068
1835,0.068
1836,0.068
1837,0.068
1838,0.069
1839,0.069
1840,0.069
1841,0.069
1842,0.069
1843,0.069
1844,0.069
1845,0.069
1846,0.069
1847,0.069
1848,0.069
1849,0.069
1850,0.069
1851,0.069
1852,0.069
1853,0.069
1854,0.069
1855,0.069
1856,0.071
1857,0.07
1858,0.071
1859,0.075
1860,0.076
1861,0.076
1862,0.082
1863,0.082
1864,0.082
1865,0.082
1866,0.082
1867,0.082
1868,0.082
1869,0.082
1870,0.082
1871,0.082
1872,0.082
1873,0.082
1874,0.083
1875,0.083
1876,0.083
1877,0.083
1878,0.082
1879,0.082
1880,0.082
1881,0.084
1882,0.084
1883,0.086
1884,0.086
1885,0.086
1886,0.086
1887,0.086
1888,0.086
1889,0.086
1890,0.086
1891,0.086
1892,0.086
1893,0.086
1894,0.086
1895,0.086
1896,0.086
1897,0.086
1898,0.086
1899,0.086
1900,0.094
1901,0.094
1902,0.094
1903,0.094
1904,0.094
1905,0.094
1906,0.094
1907,0.094
1908,0.094
1909,0.094
1910,0.096
1911,0.096
1912,0.096
1913,0.096
1914,0.096
1915,0.096
1916,0.096
1917,0.096
1918,0.096
1919,0.096
1920,0.098
1921,0.107
1922,0.107
1923,0.108
1924,0.108
1925,0.108
1926,0.108
1927,0.107
1928,0.107
1929,0.107
1930,0.107
1931,0.108
1932,0.108
1933,0.108
1934,0.108
1935,0.156
1936,0.156
1937,0.157
1938,0.157
1939,0.157
1940,0.157
1941,0.157
1942,0.157
1943,0.157
1944,0.157
1945,0.162
1946,0.165
1947,0.142
1948,0.153
1949,0.154
1950,0.262
1951,0.286
1952,0.461
1953,0.506
1954,0.506
1955,0.506
1956,0.506
1957,0.513
1958,0.514
1959,0.514
1960,0.514
1961,0.514
1962,0.501
1963,0.499
1964,0.499
1965,0.489
1966,0.488
1967,0.502
1968,0.506
1969,0.506
1970,0.493
1971,0.458
1972,0.455
1973,0.455
1974,0.425
1975,0.286
1976,0.265
1977,0.345
1978,0.514
1979,0.515
1980,0.503
1981,0.499
1982,0.497
1983,0.498
1984,0.494
1985,0.517
1986,0.521
1987,0.521
1988,0.517
1989,0.517
1990,0.54
1991,0.561
1992,0.572
1993,0.576
1994,0.582
1995,0.582
1996,0.588
1997,0.591
1998,0.593
1999,0.586
2000,0.584
2001,0.584
2002,0.587
2003,0.583
2004,0.578
2005,0.573
2006,0.569
2007,0.569
2008,0.569
2009,0.539
2010,0.532
2011,0.532
2012,0.525
2013,0.522
2014,0.488
2015,0.417
2016,0.406
2017,0.371
2018,0.363
2019,0.324
2020,0.292
2021,0.307
2022,0.291
2023,0.273
2024,0.281
2025,0.26
